,id,importance_score,gene,chrom,chromStart,chromEnd,strand
0,ENSG00000132031.11,0.023,MATN3,chr2,19992111,20012694,-
1,ENSG00000119689.13,0.023,DLST,chr14,74881891,74903745,+
2,ENSG00000183134.4,0.018,PTGDR2,chr11,60850940,60855971,-
3,ENSG00000134297.6,0.018,PLEKHA8P1,chr12,45173064,45216041,-
4,ENSG00000164466.11,0.016,SFXN1,chr5,175477062,175529742,+
5,ENSG00000152578.11,0.015,GRIA4,chr11,105609994,105982092,+
6,ENSG00000220205.7,0.014,VAMP2,chr17,8159149,8163546,-
7,ENSG00000251189.1,0.013,CTD-2196P11.2,chr5,38682070,38685126,+
8,ENSG00000256508.2,0.012,MRGPRF-AS1,chr11,69012283,69018447,+
9,ENSG00000198643.5,0.012,FAM3D,chr3,58633946,58666848,-
10,ENSG00000261327.4,0.012,RP11-863P13.3,chr16,88177298,88178941,-
11,ENSG00000180044.4,0.011,C3orf80,chr3,160225636,160228213,+
12,ENSG00000228222.1,0.01,AC074363.1,chr2,167293171,167558333,+
13,ENSG00000225398.2,0.01,PGM5P4,chr2,113541937,113563298,+
14,ENSG00000235482.1,0.009,RPL21P135,chr3,37748110,37748900,+
15,ENSG00000171368.11,0.009,TPPP,chr5,659862,693395,-
16,ENSG00000122863.5,0.009,CHST3,chr10,71964365,72013564,+
17,ENSG00000172061.8,0.009,LRRC15,chr3,194355247,194369743,-
18,ENSG00000170345.8,0.009,FOS,chr14,75278774,75282230,+
19,ENSG00000259744.1,0.009,RP11-138H8.6,chr15,70848883,70849770,-
20,ENSG00000182827.8,0.008,ACBD3,chr1,226144679,226186730,-
21,ENSG00000226026.4,0.008,RP11-57H12.3,chr1,95163219,95233982,-
22,ENSG00000236036.1,0.008,LINC00445,chr13,35697524,35699256,+
23,ENSG00000166833.18,0.008,NAV2,chr11,19350724,20121598,+
24,ENSG00000084754.9,0.008,HADHA,chr2,26190635,26244726,-
25,ENSG00000271820.1,0.008,RP5-894D12.5,chr6,170266669,170276762,-
26,ENSG00000132688.10,0.008,NES,chr1,156668763,156677397,-
27,ENSG00000249923.1,0.007,XXbac-B444P24.8,chr22,20198729,20204918,-
28,ENSG00000144366.14,0.007,GULP1,chr2,188291669,188595931,+
29,ENSG00000143742.11,0.007,SRP9,chr1,225777813,225790466,+
30,ENSG00000122641.9,0.007,INHBA,chr7,41685114,41703108,-
31,ENSG00000231999.5,0.007,FLJ27354,chr1,89583241,89632894,-
32,ENSG00000213791.4,0.007,RP11-941H19.2,chr8,80300869,80301481,+
33,ENSG00000108551.4,0.007,RASD1,chr17,17494437,17496395,-
34,ENSG00000255008.2,0.007,AP000442.4,chr11,59561146,59566074,-
