,id,importance_score,gene,chrom,chromStart,chromEnd,strand
0,ENSG00000261604.1,0.049,CTD-2636A23.2,chr5,43287601,43290839,+
1,ENSG00000224287.2,0.022,MSL3P1,chr2,233865437,233868444,-
2,ENSG00000060718.17,0.022,COL11A1,chr1,102876467,103108496,-
3,ENSG00000080819.5,0.018,CPOX,chr3,98521132,98593723,-
4,ENSG00000165120.3,0.017,SSMEM1,chr7,130207860,130216843,+
5,ENSG00000272620.1,0.017,AFAP1-AS1,chr4,7754090,7778928,+
6,ENSG00000163467.10,0.016,TSACC,chr1,156337314,156346995,+
7,ENSG00000278876.1,0.016,RP11-498C9.4,chr17,81862778,81863102,+
8,ENSG00000101189.6,0.015,MRGBP,chr20,62796453,62801738,+
9,ENSG00000161888.10,0.014,SPC24,chr19,11131520,11155808,-
10,ENSG00000052802.11,0.014,MSMO1,chr4,165327623,165343160,+
11,ENSG00000106089.10,0.013,STX1A,chr7,73699206,73719672,-
12,ENSG00000257604.1,0.013,RP11-359M6.2,chr12,79500119,79500687,-
13,ENSG00000129226.12,0.013,CD68,chr17,7579467,7582113,+
14,ENSG00000227066.1,0.013,RP3-340N1.2,chr1,20154338,20160568,+
15,ENSG00000143443.9,0.012,C1orf56,chr1,151047740,151051986,+
16,ENSG00000213088.8,0.012,ACKR1,chr1,159203307,159206500,+
17,ENSG00000251003.6,0.012,ZFPM2-AS1,chr8,105780246,106060524,-
18,ENSG00000116133.10,0.011,DHCR24,chr1,54849633,54887218,-
19,ENSG00000129521.12,0.011,EGLN3,chr14,33924231,34462774,-
20,ENSG00000260742.1,0.011,RP11-366L5.1,chr2,181887851,181891663,-
21,ENSG00000232434.2,0.011,C9orf172,chr9,136844415,136848801,+
22,ENSG00000163026.10,0.01,C2orf44,chr2,24029340,24049575,-
23,ENSG00000043514.14,0.01,TRIT1,chr1,39841022,39883511,-
24,ENSG00000143590.12,0.009,EFNA3,chr1,155078872,155087538,+
25,ENSG00000140600.15,0.009,SH3GL3,chr15,83447228,83618743,+
26,ENSG00000153214.8,0.009,TMEM87B,chr2,112055223,112119318,+
27,ENSG00000083444.15,0.008,PLOD1,chr1,11934205,11975538,+
28,ENSG00000092051.15,0.008,JPH4,chr14,23568035,23578800,-
29,ENSG00000197769.5,0.008,MAP1LC3C,chr1,241995490,241999073,-
30,ENSG00000135052.15,0.008,GOLM1,chr9,86026146,86100173,-
31,ENSG00000205240.4,0.008,OR7E36P,chr13,41431248,41432201,-
32,ENSG00000003147.16,0.007,ICA1,chr7,8113184,8262687,-
33,ENSG00000186480.11,0.007,INSIG1,chr7,155297776,155310235,+
34,ENSG00000257894.2,0.007,RP1-78O14.1,chr12,79341205,79503396,-
35,ENSG00000109586.10,0.007,GALNT7,chr4,173168753,173323967,+
36,ENSG00000167552.12,0.007,TUBA1A,chr12,49184796,49189324,-
